Run,BioSample,SampleName,sample_label,sample_used
SRR32898991,SAMN47617203,BC_A1,breast_cancer,TRUE
SRR32898982,SAMN47617212,BC_A10,breast_cancer,TRUE
SRR32898990,SAMN47617204,BC_A2,breast_cancer,TRUE
SRR32898989,SAMN47617205,BC_A3,breast_cancer,TRUE
SRR32898988,SAMN47617206,BC_A4,breast_cancer,TRUE
SRR32898987,SAMN47617207,BC_A5,breast_cancer,TRUE
SRR32898986,SAMN47617208,BC_A6,breast_cancer,TRUE
SRR32898985,SAMN47617209,BC_A7,breast_cancer,TRUE
SRR32898984,SAMN47617210,BC_A8,breast_cancer,TRUE
SRR32898983,SAMN47617211,BC_A9,breast_cancer,TRUE
SRR32898993,SAMN47617193,BC_B1,breast_cancer,FALSE
SRR32898964,SAMN47617202,BC_B10,breast_cancer,FALSE
SRR32898992,SAMN47617194,BC_B2,breast_cancer,FALSE
SRR32898981,SAMN47617195,BC_B3,breast_cancer,FALSE
SRR32898970,SAMN47617196,BC_B4,breast_cancer,FALSE
SRR32898969,SAMN47617197,BC_B5,breast_cancer,FALSE
SRR32898968,SAMN47617198,BC_B6,breast_cancer,FALSE
SRR32898967,SAMN47617199,BC_B7,breast_cancer,FALSE
SRR32898966,SAMN47617200,BC_B8,breast_cancer,FALSE
SRR32898965,SAMN47617201,BC_B9,breast_cancer,FALSE
SRR32898980,SAMN47617213,HC_1,healthy,TRUE
SRR32898971,SAMN47617222,HC_10,healthy,TRUE
SRR32898979,SAMN47617214,HC_2,healthy,TRUE
SRR32898978,SAMN47617215,HC_3,healthy,TRUE
SRR32898977,SAMN47617216,HC_4,healthy,TRUE
SRR32898976,SAMN47617217,HC_5,healthy,TRUE
SRR32898975,SAMN47617218,HC_6,healthy,TRUE
SRR32898974,SAMN47617219,HC_7,healthy,TRUE
SRR32898973,SAMN47617220,HC_8,healthy,TRUE
SRR32898972,SAMN47617221,HC_9,healthy,TRUE
