Run,BioSample,SampleName,sample_label,sample_used
SRR27425986,SAMN39213751,CC_1,colorectal_cancer,TRUE
SRR27425967,SAMN39213760,CC_10,colorectal_cancer,TRUE
SRR27425985,SAMN39213752,CC_2,colorectal_cancer,TRUE
SRR27425974,SAMN39213753,CC_3,colorectal_cancer,TRUE
SRR27425973,SAMN39213754,CC_4,colorectal_cancer,TRUE
SRR27425972,SAMN39213755,CC_5,colorectal_cancer,TRUE
SRR27425971,SAMN39213756,CC_6,colorectal_cancer,TRUE
SRR27425970,SAMN39213757,CC_7,colorectal_cancer,TRUE
SRR27425969,SAMN39213758,CC_8,colorectal_cancer,TRUE
SRR27425968,SAMN39213759,CC_9,colorectal_cancer,TRUE
SRR27425984,SAMN39213761,HC_1,healthy,TRUE
SRR27425975,SAMN39213770,HC_10,healthy,TRUE
SRR27425983,SAMN39213762,HC_2,healthy,TRUE
SRR27425982,SAMN39213763,HC_3,healthy,TRUE
SRR27425981,SAMN39213764,HC_4,healthy,TRUE
SRR27425980,SAMN39213765,HC_5,healthy,TRUE
SRR27425979,SAMN39213766,HC_6,healthy,TRUE
SRR27425978,SAMN39213767,HC_7,healthy,TRUE
SRR27425977,SAMN39213768,HC_8,healthy,TRUE
SRR27425976,SAMN39213769,HC_9,healthy,TRUE
